video_name,caption
-YwZOeyAQC8_15.mp4,a man sits playing video games on his tv while holding a baby with two small dogs resting on a nearby sofa
1AIVH5cEWrI_35.mp4,two friends singing and swaying together while looking into each other's eyes
2-8-0-2-5-4-8-8-5028025488_7.mp4,a young girl sits looks at a book turning the pages while a younger child looks over her shoulder
3PJaYWt0cws_5.mp4,a young boy skateboarding at a skate park
7-5-1-0-3-6-9-8-3775103698_9.mp4,q woman explaining a picture to a man
8-6-0-3-9-6-6-0-19586039660_4.mp4,two babies play with toy
9hlyu-wDkg4_4.mp4,two men are outside and talking
9jw7D-exQDg_77.mp4,two children sit next to eachother with microphones in their hands and the girl in the red shirt watches the girl in the pattern shirt while she talks
FJzKgF-nR0E_15.mp4,a woman playfully laughs at a child who looks back at her
FSQ2vBJ0hmw_20.mp4,two babies are lying in the cot kicking their legs one on his back the other is on his front
IkTAuzVeD2Q_46.mp4,a child feeding another
WJ-84ioZqcc_41.mp4,two children play with toy balls on a bed
b7y36KyAIoI_120.mp4,a man is describing and discussing food with a woman beside him in a kitchen
bing-heavy_com_entertainment_2017_10_this-is-us-spoilers-chrissy-metz-kate-singing-songs__249.mp4,a lady is sitting down and speaking into a microphone
eJRbWjg73fE_116.mp4,father showing teenager how to cook
flickr-0-1-6-8-3-2-4-3-4401683243_31.mp4,two people sea fishing on the edge of a metal fence
flickr-0-5-6-9-8-9-0-8-4405698908_26.mp4,two women are on a stage singing 
flickr-0-6-1-2-0-7-8-4-4606120784_26.mp4,a man singing & playing the keyboard while the other plays drums
flickr-0-9-3-5-5-6-6-9-5809355669_3.mp4,a man is drinking a drink whilst the baby is laughing at him
flickr-0-9-4-9-7-9-0-1-3009497901_3.mp4,baby watching a child read them a picture story 
flickr-1-0-3-5-1-1-0-6-2810351106_1.mp4,two toddlers with one with a feather brush tickling the other toddler with it
flickr-1-1-2-0-2-4-6-6-7211202466_8.mp4,a man and a woman hiking with 3 dogs
flickr-1-6-4-12557575164_3.mp4,an asian man and daughter on a rail track
flickr-1-8-1-1-6-5-4-7-6118116547_81.mp4,a man is reading to a baby 
flickr-1-9-7-9-4-8-8-5-5319794885_45.mp4,a cook preparing a meal
flickr-2-0-5-7-0-2-3-3-4720570233_26.mp4,one man is frosting cupcakes while the other man is watching and paying attention
flickr-2-1-6-6-7-1-1-2-16621667112_15.mp4,two men looking at a computer screen with one man pointing something out to the other
flickr-2-2-8-4-6-0-2-0-8222846020_11.mp4,a man is explaining something to another man right in front of him
flickr-2-3-8-6-9-3-6-0-2823869360_23.mp4,two babies are playing with tupperware inside a drawer
flickr-2-8-2-7-7-6-8-9-3028277689_11.mp4,a boy plays with a babies arms whilst the baby is resting
flickr-3-2-7-8-3-1-4-7-16232783147_5.mp4,a woman is playing with a baby who is laughing
flickr-3-3-2-8-3-2-3-7-2833283237_47.mp4,a boy is trying to brush a dog's teeth while a woman films it
flickr-3-5-1-9-5-7-1-6-5535195716_54.mp4,2 children in the bath
flickr-4-0-4-9-3-3-4-4-15540493344_49.mp4,a man and a child play violins together in a living room
flickr-4-1-6-2-6-0-0-0-23041626000_1.mp4,a old lady is making silly faces to a baby
flickr-4-1-7-8-1-9-6-2-3941781962_7.mp4,therparist set up little block for her patient to practise walking
flickr-4-2-6-5-6-4-7-1-5442656471_12.mp4,a baby is playing with toy cars as the grown up watches
flickr-4-7-1-4-7-6-4-0-2447147640_28.mp4,two women deciding what to eat first
flickr-4-7-7-6-8-6-8-3-10147768683_30.mp4,two men are walking through bushes in the mountains
flickr-4-8-3-9-9-3-0-9-6748399309_20.mp4,a child in skiing gear being propped up by an adult and released to move down the hill slightly
flickr-4-9-9-9-8-3-1-6-25549998316_29.mp4,a man and a young girl playing cards
flickr-5-0-2-0-2-2-2-2-2450202222_18.mp4,two babies laying on the floor and looking up playing with toys
flickr-5-2-4-7-4-1-5-5-6952474155_71.mp4,two people on a stage one is singing and one is playing the guitar
flickr-5-3-3-2-7-2-4-7-3053327247_9.mp4,two drummers beat in rhythm together
